,c_a,unit,scp,station,linename,division,data,time,desc,entries,exits
85,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/13/18,7:00:00,REGULAR,1027419,3805461
86,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/13/18,11:00:00,REGULAR,1027438,3805684
87,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/13/18,15:00:00,REGULAR,1027511,3805951
88,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/13/18,19:00:00,REGULAR,1027609,3806277
89,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/13/18,23:00:00,REGULAR,1027646,3806435
90,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/14/18,3:00:00,REGULAR,1027668,3806463
91,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/14/18,7:00:00,REGULAR,1027670,3806479
92,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/14/18,11:00:00,REGULAR,1027676,3806613
93,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/14/18,15:00:00,REGULAR,1027727,3806846
94,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/14/18,19:00:00,REGULAR,1027804,3807084
95,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/14/18,23:00:00,REGULAR,1027865,3807181
96,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/15/18,3:00:00,REGULAR,1027877,3807197
97,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/15/18,7:00:00,REGULAR,1027877,3807264
98,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/15/18,11:00:00,REGULAR,1027908,3807762
99,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/15/18,15:00:00,REGULAR,1027976,3808077
100,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/15/18,19:00:00,REGULAR,1028141,3808487
101,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/15/18,23:00:00,REGULAR,1028215,3808615
102,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/16/18,3:00:00,REGULAR,1028223,3808632
103,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/16/18,7:00:00,REGULAR,1028228,3808739
104,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/16/18,11:00:00,REGULAR,1028281,3809603
105,A002,R051,2/3/00,59 ST,NQR456W,BMT,1/16/18,15:00:00,REGULAR,1028338,3809942
